slug,name,tier,has_guide,parent_slug,page_type,intent,planned_url,seed_keywords
la-jolla,La Jolla,1,yes,,living,community-guide,/neighborhoods/la-jolla/,"living in la jolla; la jolla neighborhood guide; what is it like to live in la jolla; la jolla san diego living; la jolla area guide"
la-jolla,La Jolla,1,yes,,moving-to,relocation,/neighborhoods/la-jolla/moving-to/,"moving to la jolla; relocating to la jolla; move to la jolla san diego; la jolla relocation guide; buying a home in la jolla"
la-jolla,La Jolla,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/la-jolla/homes-for-sale/,"la jolla homes for sale; la jolla real estate; la jolla houses for sale; homes for sale la jolla san diego; la jolla property for sale"
la-jolla,La Jolla,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/la-jolla/condos-for-sale/,"la jolla condos for sale; la jolla condominiums; la jolla townhomes for sale; la jolla condo listings; la jolla village condos"
pacific-beach,Pacific Beach,1,yes,,living,community-guide,/neighborhoods/pacific-beach/,"living in pacific beach; pacific beach san diego guide; pacific beach neighborhood; what is pacific beach like; pb san diego living"
pacific-beach,Pacific Beach,1,yes,,moving-to,relocation,/neighborhoods/pacific-beach/moving-to/,"moving to pacific beach; relocating to pacific beach san diego; move to pacific beach; pacific beach relocation"
pacific-beach,Pacific Beach,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/pacific-beach/homes-for-sale/,"pacific beach homes for sale; pacific beach real estate; pb san diego homes for sale; houses for sale pacific beach"
pacific-beach,Pacific Beach,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/pacific-beach/condos-for-sale/,"pacific beach condos for sale; pacific beach condominiums; pb condos san diego; pacific beach townhomes for sale"
university-city,University City / UTC,1,yes,,living,community-guide,/neighborhoods/university-city/,"living in university city san diego; utc san diego neighborhood; university city guide; living near ucsd; utc area guide"
university-city,University City / UTC,1,yes,,moving-to,relocation,/neighborhoods/university-city/moving-to/,"moving to university city; relocating to utc san diego; move near ucsd; university city relocation guide"
university-city,University City / UTC,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/university-city/homes-for-sale/,"university city homes for sale; utc san diego homes for sale; university city real estate; homes for sale near ucsd"
university-city,University City / UTC,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/university-city/condos-for-sale/,"university city condos for sale; utc condos san diego; university city townhomes; utc condominiums for sale"
clairemont,Clairemont,1,yes,,living,community-guide,/neighborhoods/clairemont/,"living in clairemont san diego; clairemont neighborhood guide; clairemont area; what is clairemont like; clairemont san diego living"
clairemont,Clairemont,1,yes,,moving-to,relocation,/neighborhoods/clairemont/moving-to/,"moving to clairemont; relocating to clairemont san diego; move to clairemont; clairemont relocation guide"
clairemont,Clairemont,1,yes,,homes-for-sale,homes-for-sale,/neighborhoods/clairemont/homes-for-sale/,"clairemont homes for sale; clairemont san diego real estate; houses for sale clairemont; clairemont property for sale"
clairemont,Clairemont,1,yes,,condos-for-sale,homes-for-sale,/neighborhoods/clairemont/condos-for-sale/,"clairemont condos for sale; clairemont townhomes for sale; clairemont condominiums san diego"
mission-valley,Mission Valley,1,yes,,living,community-guide,/neighborhoods/mission-valley/,"living in mission valley; mission valley san diego guide; mission valley neighborhood; what is mission valley like"
mission-valley,Mission Valley,1,yes,,moving-to,relocation,/neighborhoods/mission-valley/moving-to/,"moving to mission valley; relocating to mission valley san diego; move to mission valley; mission valley relocation"
